Id	Name	Kind	Camp	Series	Treasure	HeadImage	ClientOnly	CorpseIdx	RedLum	GreenLum	BlueLum	NpcResType	ArmorType	HelmType	WeaponType	HorseType	RideHorse	StandFrame	StandFrame1	DeathFrame	WalkFrame	RunFrame	HurtFrame	Skill1	Level1	Skill2	Level2	Skill3	Level3	Skill4	Level4	ActionScript	LevelScript	ExpParam	LifeParam	LifeReplenish	ARParam	DefenseParam	MinDamageParam	MaxDamageParam	WalkSpeed	RunSpeed	AttackSpeed	CastSpeed	VisionRadius	HitRecover	ActiveRadius	AIMode	AIParam1	AIParam2	AIParam3	AIParam4	AIParam5	AIParam6	AIParam7	AIParam8	AIParam9	FireResist	ColdResist	LightResist	PoisonResist	PhysicsResist	FireResistMax	ColdResistMax	LightResistMax	PoisonResistMax	PhysicsResistMax	ReviveFrame	Stature	DropRateFile	AIMaxTime
251	Thai Giam Than Bi	3	6	0	1							passerby060	0	0	0	0	0	38	14															100											400	10	700													0|0								180	100		10
252	dau hiep than nhat	3	6	0	1							passerby061_1	0	0	0	0	0	32	32															100											400	10	700													0|0								180	100		10
253	dau hiep than nhi	3	6	0	1							passerby061_2	0	0	0	0	0	32	32															100											400	10	700													0|0								180	100		10
254	dau hiep than tam	3	6	0	1							passerby061_3	0	0	0	0	0	32	32															100											400	10	700													0|0								180	100		10
255	thuc cam tu than nhat	3	6	0	1							passerby062_1	0	0	0	0	0	38	42															100											400	10	700													0|0								180	100		10
256	thuc cam tu than nhi	3	6	0	1							passerby062_2	0	0	0	0	0	38	42															100											400	10	700													0|0								180	100		10
257	thuc cam tu than tam	3	6	0	1							passerby062_3	0	0	0	0	0	38	42															100											400	10	700													0|0								180	100		10
258	Thu Thanh Duoc Y	3	6	0	1							passerby063_1	0	0	0	0	0	38	20															100											400	10	700													0|0								180	100		10
259	Cong Thanh Duoc Y	3	6	0	1							passerby063_2	0	0	0	0	0	38	20															100											400	10	700													0|0								180	100		10
260	duoc than tam	3	6	0	1							passerby063_3	0	0	0	0	0	38	20															100											400	10	700													0|0								180	100		10
261	tich lu than nhat	3	6	0	1							passerby064_1	0	0	0	0	0	55	55															100											400	10	700													0|0								180	100		10
262	tich lu than nhi	3	6	0	1							passerby064_2	0	0	0	0	0	55	55															100											400	10	700													0|0								180	100		10
263	tich lu than tam	3	6	0	1							passerby064_3	0	0	0	0	0	55	55															100											400	10	700													0|0								180	100		10
264	dai dau thai nhat	3	6	0	1							passerby065_1	0	0	0	0	0	22	35															100											400	10	700													0|0								180	100		10
265	dai dau thai nhi	3	6	0	1							passerby065_2	0	0	0	0	0	22	35															100											400	10	700													0|0								180	100		10
266	dai dau thai tam	3	6	0	1							passerby065_3	0	0	0	0	0	22	35															100											400	10	700													0|0								180	100		10
267	tra nhat	3	6	0	1							passerby066_1	0	0	0	0	0	38	34															100											400	10	700													0|0								180	100		10
268	tra nhi	3	6	0	1							passerby066_2	0	0	0	0	0	38	34															100											400	10	700													0|0								180	100		10
269	Xa Phu	3	6	0	1							passerby040_1	0	0	0	0	0	38	34															100											400	10	700													0|0								180	100		10
270	tu khi than nhat	3	6	0	1							passerby067_1	0	0	0	0	0	32	15															100											400	10	700													0|0								180	100		10
271	tu khi than nhi	3	6	0	1							passerby067_2	0	0	0	0	0	32	15															100											400	10	700													0|0								180	100		10
272	tu khi than tam	3	6	0	1							passerby067_3	0	0	0	0	0	32	15															100											400	10	700													0|0								180	100		10
273	nhat tien qua	3	6	0	1							passerby068_1	0	0	0	0	0	32	30															100											400	10	700													0|0								180	100		10
274	nhat tien qua nhi	3	6	0	1							passerby068_2	0	0	0	0	0	32	30															100											400	10	700													0|0								180	100		10
275	nhat tien qua tam	3	6	0	1							passerby068_3	0	0	0	0	0	32	30															100											400	10	700													0|0								180	100		10
276	hoa dang than nhat	3	6	0	1							passerby069_1	0	0	0	0	0	30	48															100											400	10	700													0|0								180	100		10
277	hoa dang than nhi	3	6	0	1							passerby069_2	0	0	0	0	0	30	48															100											400	10	700													0|0								180	100		10
278	hoa dang than tam	3	6	0	1							passerby069_3	0	0	0	0	0	30	48															100											400	10	700													0|0								180	100		10
279	hoa nong nhat	3	6	0	1							passerby070_1	0	0	0	0	0	30	32															100											400	10	700													0|0								180	100		10
280	hoa nong nhi	3	6	0	1							passerby070_2	0	0	0	0	0	30	32															100											400	10	700													0|0								180	100		10
281	hoa nong tam	3	6	0	1							passerby070_3	0	0	0	0	0	30	32															100											400	10	700													0|0								180	100		10
282	tay qua than nhat	3	6	0	1							passerby071_1	0	0	0	0	0	18	36															100											400	10	700													0|0								180	100		10
283	tay qua than nhi	3	6	0	1							passerby071_2	0	0	0	0	0	18	36															100											400	10	700													0|0								180	100		10
284	tay qua than tam	3	6	0	1							passerby071_3	0	0	0	0	0	18	36															100											400	10	700													0|0								180	100		10
285	Doan menh tien sinh	3	6	0	1							passerby072_1	0	0	0	0	0	34	45															100											400	10	700													0|0								180	100		10
286	doan menh tien sinh nhi	3	6	0	1							passerby072_2	0	0	0	0	0	34	45															100											400	10	700													0|0								180	100		10
287	Chuyen Sinh Lao Su	3	6	0	1							passerby072_3	0	0	0	0	0	34	45															100											400	10	700													0|0								180	100		10
288	Tho May Than Bi 	3	6	0	1							passerby073_1	0	0	0	0	0	38	38															100											400	10	700													0|0								180	100		10
289	Ban tranh 2 	3	6	0	1							passerby073_2	0	0	0	0	0	38	38															100											400	10	700													0|0								180	100		10
290	Ban tranh 3 	3	6	0	1							passerby073_3	0	0	0	0	0	38	38															100											400	10	700													0|0								180	100		10
291	Tap hoa nho 1 	3	6	0	1							passerby074_1	0	0	0	0	0	38	36															100											400	10	700													0|0								180	100		10
292	Tap hoa nho 2 	3	6	0	1							passerby074_2	0	0	0	0	0	38	36															100											400	10	700													0|0								180	100		10
293	Than Bi Thuong Nhan 	3	6	0	1							passerby074_3	0	0	0	0	0	38	36															100											400	10	700													0|0								180	100		10
294	Ban thit heo 1 	3	6	0	1							passerby075_1	0	0	0	0	0	38	40															100											400	10	700													0|0								180	100		10
295	Ban thit heo 2 	3	6	0	1							passerby075_2	0	0	0	0	0	38	40															100											400	10	700													0|0								180	100		10
296	Ban thit heo 3 	3	6	0	1							passerby075_3	0	0	0	0	0	38	40															100											400	10	700													0|0								180	100		10
297	Ban tom ca 1 	3	6	0	1							passerby076_1	0	0	0	0	0	15	16															100											400	10	700													0|0								180	100		10
298	Ban tom ca 2 	3	6	0	1							passerby076_2	0	0	0	0	0	15	16															100											400	10	700													0|0								180	100		10
299	Ban tom ca 3 	3	6	0	1							passerby076_3	0	0	0	0	0	15	16															100											400	10	700													0|0								180	100		10
300	Ban banh bao 1 	3	6	0	1							passerby077_1	0	0	0	0	0	50	50															100											400	10	700													0|0								180	100		10
301	Ban banh bao 2 	3	6	0	1							passerby077_2	0	0	0	0	0	50	50															100											400	10	700													0|0								180	100		10
302	Ban banh bao 3 	3	6	0	1							passerby077_3	0	0	0	0	0	50	50															100											400	10	700													0|0								180	100		10
303	rau cai 1 	3	6	0	1							passerby079_1	0	0	0	0	0	34	32															100											400	10	700													0|0								180	100		10
304	rau cai 2 	3	6	0	1							passerby079_2	0	0	0	0	0	34	32															100											400	10	700													0|0								180	100		10
305	rau cai 3 	3	6	0	1							passerby079_3	0	0	0	0	0	34	32															100											400	10	700													0|0								180	100		10
306	Nguoi ban keo ho lo	3	6	0	1							passerby080	0	0	0	0	0	17	34															100											400	10	700													0|0								180	100		10
307	dieu ngu ong	3	6	0	1							passerby088	0	0	0	0	0	84	84															100											400	10	700																					180	100		10
308	Nhan vat gian ho 1	3	6	0	1							passerby092	0	0	0	0	0	16	28															100											400	10	700																					180	100		10
309	Nhan vat gian ho 3	3	6	0	1							passerby094	0	0	0	0	0	24	57															100											400	10	700																					180	100		10
310	Nhan vat gian ho 4	3	6	0	1							passerby095	0	0	0	0	0	32	32															100											400	10	700																					180	100		10
311	Vo Su	3	6	0	1							passerby097	0	0	0	0	0	24	49															100											400	10	700																					180	100		10
312	Phong Lang Ho Ve	3	6	0	1							passerby099	0	0	0	0	0	22	22															100											400	10	700																					180	100		10
313	lao niem nam tu 2	3	6	0	1							passerby100	0	0	0	0	0	27	45															100											400	10	700																					180	100		10
314	lao niem nam tu 3	3	6	0	1							passerby101	0	0	0	0	0	17	61															100											400	10	700																					180	100		10
315	lao niem nam tu 4	3	6	0	1							passerby102	0	0	0	0	0	17	76															100											400	10	700																					180	100		10
316	lao niem nam tu 5	3	6	0	1							passerby103	0	0	0	0	0	34	62															100											400	10	700																					180	100		10
317	lao nien nu tu 1	3	6	0	1							passerby104	0	0	0	0	0	22	32															100											400	10	700																					180	100		10
318	lao nien nu tu 2	3	6	0	1							passerby105	0	0	0	0	0	24	25															100											400	10	700																					180	100		10
319	Dich Quan	3	6	0	1							passerby108	0	0	0	0	0	22	32															100											400	10	700																					180	100		10
320	xich hau tieu chi	3	6	0	1							passerby201	0	0	0	0	0	22	32															100											400	10	700																					180	100		10
321	An May	3	6	0	1							passerby112	0	0	0	0	0	25	25															100											400	10	700																					180	100		10
322	Than Bi Bo Hanh	3	6	0	1							passerby117	0	0	0	0	0	26	32															100											400	10	700																					180	100		10
323	Tham Cuu	3	6	0	1							passerby118	0	0	0	0	0	22	32															100											400	10	700																					180	100		10
324	than nien nam tu 5	3	6	0	1							passerby119	0	0	0	0	0	24	36															100											400	10	700																					180	100		10
325	than nien nam tu 6	3	6	0	1							passerby120	0	0	0	0	0	30	35															100											400	10	700																					180	100		10
326	than nien nam tu 7	3	6	0	1							passerby121	0	0	0	0	0	26	32															100											400	10	700																					180	100		10
327	than nien nam tu 8	3	6	0	1							passerby122	0	0	0	0	0	22	24															100											400	10	700																					180	100		10
328	than nien nam tu 9	3	6	0	1							passerby123	0	0	0	0	0	26	32															100											400	10	700																					180	100		10
329	than nien nam tu 10	3	6	0	1							passerby124	0	0	0	0	0	22	32															100											400	10	700																					180	100		10
330	than nien nam tu 11	3	6	0	1							passerby125	0	0	0	0	0	22	32															100											400	10	700																					180	100		10
331	than nien nam tu 13	3	6	0	1							passerby127	0	0	0	0	0	45	48															100											400	10	700																					180	100		10
332	than nien nam tu 14	3	6	0	1							passerby128	0	0	0	0	0	46	52															100											400	10	700																					180	100		10
333	than nien nam tu 15	3	6	0	1							passerby129	0	0	0	0	0	47	33															100											400	10	700																					180	100		10
334	Nhiep Thi Tran	3	6	0	1							enemy154	0	0	0	0	0	8	40															100											400	10	700																					180	100		10
335	Vo Lam Che Tao Y	3	6	0	1							boss061	0	0	0	0	0	49	48															100											400	10	700																					180	100		10
336	Hu Danh Dai Su	3	6	0	1							boss062	0	0	0	0	0	45	58															100											400	10	700																					180	100		10
337	Phong Hoa Bach Y	3	6	0	1							boss063	0	0	0	0	0	29	26															100											400	10	700																					180	100		10
338	Huyen Tinh Tieu Muoi	3	6	0	1							boss064	0	0	0	0	0	30	38															100											400	10	700																					180	100		10
339	Phong Lang Do Thu Linh	3	6	0	1							boss065	0	0	0	0	0	22	32															100											400	10	700																					180	100		10
340	Tay Tuy Co Nuong	3	6	0	1							passerby030	0	0	0	0	0	22	30															100											400	10	700																					180	100		10
341	Vo Lam Tien Boi	3	6	0	1							boss067	0	0	0	0	0	26	32															100											400	10	700																					180	100		10
342	Long Tru	0	5	0	1			306				enemy190	0	0	0	0	0	20	20	20	20	20	20											100	100	0|5	0	0	0	0	0	0	1	1	400	10	0	8	50	50	50	50	50	100	50	0	0	0|0	0|0	0|0	100|0	0|0	85	85	85	85	85	180	100		10
343	Truong Ca Mon Nhan	3	6	0	1							enemy087	0	0	0	0	0	22	30															100											400	10	700																					180	100		10
344	Than Bi Bao Ruong	0	5	0	1			306				passerby202	0	0	0	0	0	20	20	20	20	20	20											100	100	0|1	0	0	0	0	0	0	1	1	400	10	0	8	50	50	50	50	50	100	50	0	0	0|0	0|0	0|0	100|0	0|0	85	85	85	85	85	180	100		10
345	Thien Nhan Tan Nhan	3	6	0	1							passerby159	0	0	0	0	0	22	24															100											400	10	700																					180	100		10
346	tan thu linh cong tu	3	6	0	1							passerby142	0	0	0	0	0	22	26															100											400	10	700																					180	100		10
347	A Phuong	3	6	0	1							passerby144	0	0	0	0	0	22	24															100											400	10	700																					180	100		10
348	thang nien nu tu 13	3	6	0	1							passerby145	0	0	0	0	0	22	32															100											400	10	700																					180	100		10
349	thang nien nu tu 14	3	6	0	1							passerby146	0	0	0	0	0	22	24															100											400	10	700																					180	100		10
350	thang nien nu tu 15	3	6	0	1							passerby147	0	0	0	0	0	30	35															100											400	10	700																					180	100		10
351	thang nien nu tu 16	3	6	0	1							passerby148	0	0	0	0	0	27	33															100											400	10	700																					180	100		10
352	thang nien nu tu 17	3	6	0	1							passerby149	0	0	0	0	0	39	54															100											400	10	700																					180	100		10
353	thang nien nu tu 18	3	6	0	1							passerby150	0	0	0	0	0	30	35															100											400	10	700																					180	100		10
354	thang nien nu tu 19	3	6	0	1							passerby151	0	0	0	0	0	17	33															100											400	10	700																					180	100		10
355	thang nien nu tu 20	3	6	0	1							passerby152	0	0	0	0	0	17	57															100											400	10	700																					180	100		10
356	thang nien nu tu 21	3	6	0	1							passerby153	0	0	0	0	0	17	59															100											400	10	700																					180	100		10
357	thang nien nu tu 22	3	6	0	1							passerby154	0	0	0	0	0	26	37															100											400	10	700																					180	100		10
358	thu sinh 1	3	6	0	1							passerby157	0	0	0	0	0	25	28															100											400	10	700																					180	100		10
359	thu sinh 3	3	6	0	1							passerby159	0	0	0	0	0	22	32															100											400	10	700																					180	100		10
360	Thuan Thuy	3	6	0	1							passerby163	0	0	0	0	0	22	31															100											400	10	700																					180	100		10
361	Be trai 2	3	6	0	1							passerby164	0	0	0	0	0	22	32															100											400	10	700																					180	100		10
362	Be gai 1	3	6	0	1							passerby165	0	0	0	0	0	34	28															100											400	10	700																					180	100		10
363	Be gai 3	3	6	0	1							passerby167	0	0	0	0	0	19	20															100											400	10	700																					180	100		10
364	Be gai 4	3	6	0	1							passerby168	0	0	0	0	0	22	24															100											400	10	700																					180	100		10
365	Nam trung nien 1	3	6	0	1							passerby169	0	0	0	0	0	21	24															100											400	10	700																					180	100		10
366	Nam trung nien 2	3	6	0	1							passerby170	0	0	0	0	0	28	26															100											400	10	700																					180	100		10
367	Nam trung nien 3	3	6	0	1							passerby171	0	0	0	0	0	22	32															100											400	10	700																					180	100		10
368	Nam trung nien 4	3	6	0	1							passerby172	0	0	0	0	0	30	30															100											400	10	700																					180	100		10
369	Nam trung nien 5	3	6	0	1							passerby173	0	0	0	0	0	22	24															100											400	10	700																					180	100		10
370	Nam trung nien 6	3	6	0	1							passerby174	0	0	0	0	0	22	32															100											400	10	700																					180	100		10
371	Nam trung nien 7	3	6	0	1							passerby175	0	0	0	0	0	47	69															100											400	10	700																					180	100		10
372	Nam trung nien 8	3	6	0	1							passerby176	0	0	0	0	0	30	33															100											400	10	700																					180	100		10
373	Nam trung nien 9	3	6	0	1							passerby177	0	0	0	0	0	30	33															100											400	10	700																					180	100		10
374	Nam trung nien 10	3	6	0	1							passerby178	0	0	0	0	0	53	54															100											400	10	700																					180	100		10
375	Nam trung nien 11	3	6	0	1							passerby179	0	0	0	0	0	36	35															100											400	10	700																					180	100		10
376	Nam trung nien 12	3	6	0	1							passerby180	0	0	0	0	0	14	46															100											400	10	700																					180	100		10
377	Nam trung nien 13	3	6	0	1							passerby181	0	0	0	0	0	30	30															100											400	10	700																					180	100		10
378	Nam trung nien 14	3	6	0	1							passerby182	0	0	0	0	0	45	46															100											400	10	700																					180	100		10
379	Nam trung nien 15	3	6	0	1							passerby183	0	0	0	0	0	38	52															100											400	10	700																					180	100		10
380	Nam trung nien 16	3	6	0	1							passerby184	0	0	0	0	0	35	34															100											400	10	700																					180	100		10
381	Nu trung nien 1	3	6	0	1							passerby185	0	0	0	0	0	21	28															100											400	10	700																					180	100		10
382	Nu trung nien 2	3	6	0	1							passerby186	0	0	0	0	0	22	32															100											400	10	700																					180	100		10
383	Nu trung nien 3	3	6	0	1							passerby187	0	0	0	0	0	22	30															100											400	10	700																					180	100		10
384	Nu trung nien 4	3	6	0	1							passerby188	0	0	0	0	0	22	32															100											400	10	700																					180	100		10
385	Co Lao Thai	3	6	0	1							passerby189	0	0	0	0	0	58	58															100											400	10	700																					180	100		10
386	Nu trung nien 6	3	6	0	1							passerby190	0	0	0	0	0	51	65															100											400	10	700																					180	100		10
387	Tho ren 4 	3	6	0	1							passerby004_4	0	0	0	0	0	24	24															100											400	10	700																					180	100		10
388	Hoc tro tho ren at 4 	3	6	0	1							passerby006_4	0	0	0	0	0	22	22															100											400	10	700																					180	100		10
389	Chu duoc diem 1 	3	6	0	1							passerby007_1	0	0	0	0	0	30	30															100											400	10	700																					180	100		10
390	Ba chu vat nuoi 4 	3	6	0	1							passerby011_4	0	0	0	0	0	22	22															100											400	10	700																					180	100		10
391	Chu tien trang 4 	3	6	0	1							passerby036	0	0	0	0	0	19	19															100											400	10	700																					180	100		10
392	Ban ngua Giap 4 	3	6	0	1							passerby037_4	0	0	0	0	0	38	38															100											400	10	700																					180	100		10
393	Xa phu at 4 	3	6	0	1							passerby040_4	0	0	0	0	0	30	30															100											400	10	700																					180	100		10
394	Thuyen Phu	3	6	0	1							passerby043_1	0	0	0	0	0	26	26															100											400	10	700																					180	100		10
395	Thuyen phu at 1 	3	6	0	1							passerby044_1	0	0	0	0	0	20	20															100											400	10	700																					180	100		10
396	Thuyen phu Binh 1 	3	6	0	1							passerby045_1	0	0	0	0	0	34	34															100											400	10	700																					180	100		10
397	Thai giam Giap 1 	3	6	0	1							passerby059_1	0	0	0	0	0	30	30															100											400	10	700																					180	100		10
398	Gom su 4 	3	6	0	1							passerby067_4	0	0	0	0	0	32	32															100											400	10	700																					180	100		10
399	Gom su 5 	3	6	0	1							passerby067_5	0	0	0	0	0	32	32															100											400	10	700																					180	100		10
400	Gom su 6	3	6	0	1							passerby067_6	0	0	0	0	0	32	32															100											400	10	700																					180	100		10
401	Rau qua tuoi 4 	3	6	0	1							passerby068_4	0	0	0	0	0	32	32															100											400	10	700																					180	100		10
402	Rau qua tuoi 5 	3	6	0	1							passerby068_5	0	0	0	0	0	32	32															100											400	10	700																					180	100		10
403	Rau qua tuoi 6	3	6	0	1							passerby068_6	0	0	0	0	0	32	32															100											400	10	700																					180	100		10
404	Thay boi 4 	3	6	0	1							passerby072_4	0	0	0	0	0	34	34															100											400	10	700																					180	100		10
405	Tap hoa nho 4 	3	6	0	1							passerby023	0	0	0	0	0	36	36															100											400	10	700																					180	100		10
406	Tap hoa nho 5 	3	6	0	1							passerby074_5	0	0	0	0	0	36	36															100											400	10	700																					180	100		10
407	Tap hoa nho 6	3	6	0	1							passerby074_6	0	0	0	0	0	36	36															100											400	10	700																					180	100		10
408	Ban thit heo 4 	3	6	0	1							passerby075_4	0	0	0	0	0	38	38															100											400	10	700																					180	100		10
409	Ngu Dan	3	6	0	1							passerby076	0	0	0	0	0	16	16															100											400	10	700																					180	100		10
410	Doc Co Van 	3	6	0	1							enemy115	0	0	0	0	0	30	33															100											400	10	700																					180	100		10
411	Hoa Thuong	0	5	0	1			265				enemy176	0	0	0	0	0	20	32	24	12	20	12	53	0|10	53	0|15	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	30	30	60	40	100	0	0	10	0	2|0.2	5|0.5	5|0.5	10|0.6	5|0.5	85	85	85	85	85	180	100	\settings\droprate\quai10x.ini	10
412	Ni Co	0	5	0	1			266				enemy177	0	0	0	0	0	20	26	26	11	20	12	53	0|10	53	0|15	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	30	20	70	50	50	0	0	20	0	5|0.8	3|0.3	0|0.1	3|0.3	3|0.3	85	85	85	85	85	180	100	\settings\droprate\quai10x.ini	10
413	Coc go 	0	5	0	1			304				enemy178	0	0	0	0	0	20	20	14	20	20	14	53	0|10	53	0|15	53	1|0	53	1|0		\script\npclevelscript\noatk.lua	100	100	0|0	0	0	0	0	0	0	1	1	400	10	0	8	0	0	0	0	0	100	0	0	0	0|0	0|0	0|0	0|0	0|0	85	85	85	85	85	180	100	\settings\droprate\quai10x.ini	10
414	Moc nhan	0	5	0	1			305				enemy179	0	0	0	0	0	20	20	8	20	20	8	53	0|10	53	0|15	53	1|0	53	1|0		\script\npclevelscript\noatk.lua	100	100	0|0	0	0	0	0	0	0	1	1	400	10	0	8	0	0	0	0	0	100	0	0	0	0|0	0|0	0|0	0|0	0|0	85	85	85	85	85	180	100	\settings\droprate\quai10x.ini	10
415	Bao cat	0	5	0	1			306				enemy180	0	0	0	0	0	20	20	20	20	20	20	53	0|10	53	0|15	53	1|0	53	1|0		\script\npclevelscript\noatk.lua	100	100	0|0	0	0	0	0	0	0	1	1	400	10	0	8	0	0	0	0	0	100	0	0	0	0|0	0|0	0|0	0|0	0|0	85	85	85	85	85	180	100	\settings\droprate\quai10x.ini	10
416	Heo me 	5	0	0	1		1					critter001	0	0	0	0	0	36	36															100											400	10	0																					180			10
417	Heo con	5	0	0	1		1					critter002	0	0	0	0	0	32	36															100											400	10	0																					180			10
418	Ga trong	5	0	0	1		1					critter003	0	0	0	0	0	24	36		12	20												100											400	10	1000	1	200	20	16	8	0	0	0	0	0											180			10
419	Ga mai	5	0	0	1		1					critter004	0	0	0	0	0	24	36		10	20												100											400	10	1000	1	200	20	16	8	0	0	0	0	0											180			10
420	Ga con	5	0	0	1		1					critter005	0	0	0	0	0	18	18		8	16												100											400	10	1000	1	200	20	16	8	0	0	0	0	0											180			10
421	Bo 	5	0	0	1		1					critter006	0	0	0	0	0	28	33															100											400	10	0																					180			10
422	Trau	5	0	0	1		1					critter007	0	0	0	0	0	30	33															100											400	10	0																					180			10
423	Hong Ma 	5	0	0	1		1					critter008	0	0	0	0	0	26	26															100											400	10	0																					180			10
424	Bach Ma 	5	0	0	1		1					critter009	0	0	0	0	0	26	26															100											400	10	0																					180			10
425	Hac Ma 	5	0	0	1		1					critter010	0	0	0	0	0	26	26															100											400	10	0																					180			10
426	Lua	5	0	0	1		1					critter011	0	0	0	0	0	26	26															100											400	10	0																					180			10
427	Hac cau 1	5	0	0	1		1					critter012	0	0	0	0	0	28	25															100											400	10	0																					180			10
428	Hac cau 2	5	0	0	1		1					critter013	0	0	0	0	0	24	28		18	18												100											400	10	1000	1	300	30	16	8	0	0	200	0	200											180			10
429	Hoang cau 1	5	0	0	1		1					critter014	0	0	0	0	0	20	25															100											400	10	0																					180			10
430	Hoang cau 2	5	0	0	1		1					critter015	0	0	0	0	0	24	28		18	18												100											400	10	1000	1	300	30	16	8	0	0	200	0	200											180			10
431	Tho 	5	0	0	1		1					critter016	0	0	0	0	0	20	25		8	8												100											400	10	2000	1	120	12	6	2	0	0	300	0	300											180			10
432	Chuot	5	0	0	1		1					critter017	0	0	0	0	0	6	6		6	6												100											400	10	1500	1	100	10	3	1	0	0	400	0	400											180			10
433	Chuon chuon 1	4	0	0	1		1					critter018	0	0	0	0	0	1	1		2	1												100											400	10	1500	1	180	20	4	1	0	0	0	0	0											180			10
434	Chuon chuon 2	4	0	0	1		1					critter019	0	0	0	0	0	1	1		2	1												100											400	10	1500	1	160	30	5	1	0	0	0	0	0											180			10
435	Chuon chuon 3	4	0	0	1		1					critter020	0	0	0	0	0	1	1		2	1												100											400	10	1500	1	190	25	4	2	0	0	0	0	0											180			10
436	Buom 1	4	0	0	1		1					critter021	0	0	0	0	0	3	3		3	3												100											400	10	1500	1	110	25	6	2	0	0	0	0	0											180			10
437	Buom 2	4	0	0	1		1					critter022	0	0	0	0	0	3	3		3	3												100											400	10	1500	1	120	30	6	2	0	0	0	0	0											180			10
438	Buom 3	4	0	0	1		1					critter023	0	0	0	0	0	4	4		4	4												100											400	10	1500	1	115	25	6	2	0	0	0	0	0											180			10
439	Chim se 	4	0	0	1		1					critter024	0	0	0	0	0	8	8		8	8												100											400	10	1500	1	280	28	4	1	0	0	0	0	0											180			10
440	ac la 	4	0	0	1		1					critter025	0	0	0	0	0	10	10		10	10												100											400	10	1500	1	320	32	4	2	0	0	0	0	0											180			10
441	Qua 	4	0	0	1		1					critter026	0	0	0	0	0	12	12		12	12												100											400	10	1500	1	400	40	3	1	0	0	0	0	0											180			10
442	ech	5	0	0	1		1					critter027	0	0	0	0	0	12	12		12	12												100											400	10	1500	1	300	40	6	2	0	0	400	0	200											180			10
443	Thanh ngu 	5	0	0	1		1					critter028	0	0	0	0	0	12	12		12	12												100											400	10	1000	1	300	40	5	2	0	0	200	0	200											180			10
444	Ca chep	5	0	0	1		1					critter029	0	0	0	0	0	16	16		12	12												100											400	10	1000	1	300	40	5	2	0	0	200	0	200											180			10
445	Dom dom	4	0	0	1		1					critter030	0	0	0	0	0	122	122		122	122												100											400	10																						180			10
446	chuong ngai chien truong	0	5	0	1							enemy181	0	0	0	0	0	20	20	20	20	20	20											100	1|0	0|0	0	0	0	0	0	0	1	1	400	10	0	1	0	0	0	0	0	100	0	0	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100		10
447	Nguoi ke chuyen	3	6	0	1							passerby191	0	0	0	0	0	185	185															100												10																						180	100		10
448	Nai	0	5	2	1			103				ani061	0	0	0	0	0	35	35	31	11	22	14	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	100	3|0	100	100	100	100	4	4	25	25	400	10	700	1	80	40	10	0	0	0	10	0	0	0|0.6	0|0.6	0|0.6	0|0.6	0|0.6	90	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
449	Tong Cung Binh	0	1	1	1			135				enemy026	0	0	0	0	0	25	31	30	10	24	12	53	0|15	53	0|15	53	0|15	53	0|15		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	60	100	0	0	0	50	0	0	0	0|0.5	0|0.5	0|0.6	0|0.5	0|0	75	75	90	75	60	180	100	\settings\droprate\quai10x.ini	10
450	Kim Cung Binh	0	1	3	1			138				enemy029	0	0	0	0	0	33	36	23	13	26	12	53	0|15	53	0|15	53	0|15	53	0|15		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	60	100	0	0	0	50	0	0	0	0|0.5	0|0	0|0.5	0|0.5	0|0.6	75	60	75	75	90	180	100	\settings\droprate\quai10x.ini	10
451	Tong Dao Binh	0	1	0	1			143				enemy034	0	0	0	0	0	24	46	28	11	22	11	53	0|15	53	0|15	53	0|15	53	0|15		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	60	100	0	0	0	50	0	0	0	0|0.5	0|0	0|0.5	0|0.5	0|0.6	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
452	Kim Dao Binh	0	2	2	1			137				enemy028	0	0	0	0	0	24	28	31	10	26	12	53	0|15	53	0|15	53	0|15	53	0|15		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	60	100	0	0	0	50	0	0	0	0|0.6	0|0.5	0|0	0|0.5	0|0.5	90	75	60	75	75	180	100	\settings\droprate\quai10x.ini	10
453	Tong Thuong Quan	0	2	4	1			140				enemy031	0	0	0	0	0	28	33	30	10	23	12	53	0|15	53	0|15	53	0|15	53	0|15		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	60	100	0	0	0	50	0	0	0	0|0.5	0|0.6	0|0.5	0|0	0|0.5	75	90	75	60	75	180	100	\settings\droprate\quai10x.ini	10
