名称	道具种类	具体类别	动画文件名	对应物件索引	宽度	高度	说明文字
Giay Kieng Vang	4	178	\spr\event\lunglinhanhdenlong\giaykienvang.spr	41	1	1	Nguyen lieu lam den long
Giay Kieng Luc	4	179	\spr\event\lunglinhanhdenlong\giaykienluc.spr	41	1	1	Nguyen lieu lam den long
Giay Kieng Lam	4	180	\spr\event\lunglinhanhdenlong\giaykienlam.spr	41	1	1	Nguyen lieu lam den long
Giay Kieng Cam	4	181	\spr\event\lunglinhanhdenlong\giaykiencam.spr	41	1	1	Nguyen lieu lam den long
Giay Kieng Do	4	182	\spr\event\lunglinhanhdenlong\giaykiendo.spr	41	1	1	Nguyen lieu lam den long
Tre	4	183	\spr\event\lunglinhanhdenlong\thanhtre.spr	41	1	1	Nguyen Lieu Lam Long Den
Day Coi	4	184	\spr\event\lunglinhanhdenlong\daycoi.spr	41	1	1	Nguyen Lieu Lam Long Den
Gao Nep	4	185	\spr\event\tanxuandaohoi\gaonep.spr	363	1	1	<color=yellow>Gao Nep<color> nguyen lieu khong the thieu dung de goi banh tet。
Thit Heo	4	186	\spr\event\tanxuandaohoi\thitheo.spr	364	1	1	Nguyen lieu lam banh chung
La Dong	4	187	\spr\event\tanxuandaohoi\ladong.spr	362	1	1	Nguyen lieu lam banh chung
Dau Xanh	4	188	\spr\event\tanxuandaohoi\dauxanh.spr	41	1	1	Nguyen lieu lam banh chung
Phuc	4	189	\spr\event\tanxuandaohoi\phuc.spr	41	2	1	Thu thap du ba chu PHUC - LOC - THO de nhan phan thuong
Loc	4	190	\spr\event\tanxuandaohoi\loc.spr	41	2	1	Thu thap du ba chu PHUC - LOC - THO de nhan phan thuong
Tho	4	191	\spr\event\tanxuandaohoi\tho.spr	41	2	1	Thu thap du ba chu PHUC - LOC - THO de nhan phan thuong
Nen Bat Tran Phuc Nguyet	4	192	\spr\item\questkey\nen\nenbattranphucnguyet.spr	462	1	1	Nen Trang
Nen Do	4	193	\spr\item\questkey\nen\nendoto.spr	462	1	1	Nen Do
Nen Vui Ve	4	194	\spr\item\questkey\nen\nenvuive.spr	347	1	1	Nen Vui Ve
Nen Binh An	4	195	\spr\item\questkey\nen\nenbinhan.spr	347	1	1	Nen Binh An
Nen May Man	4	196	\spr\item\questkey\nen\nenmayman.spr	361	1	1	Nen May Man
Nen Hanh Phuc	4	197	\spr\item\questkey\nen\nenhanhphuc.spr	362	1	1	Nen Hanh Phuc
Nen Tien Vu	4	198	\spr\item\questkey\nen\nentienvu.spr	360	1	1	Nen Tien Vu
Nen Van Du	4	199	\spr\item\questkey\nen\nenvandu.spr	380	1	1	Nen Van Du
Nen Thuong Nguyet	4	200	\spr\item\questkey\nen\nenthuongnguyet.spr	462	1	1	Nen Thuong Nguyet
Minh Nguyet Tuu	4	201	\spr\item\questkey\ruou\minhnguyettuu.spr	21	1	1	Khi su dung chung voi banh trunh thu kien nguyet va thuong nguyet thi co the nhan them 1.5 ty diem kinh nghiem!
Ngu Sac Long Chau (Kim)	4	202	\spr\item\questkey\ngusaclongchau\ngusaclongchaukim.spr	341	1	1	Ngu Sac Long Chau (Kim)
Ngu Sac Long Chau (Moc)	4	203	\spr\item\questkey\ngusaclongchau\ngusaclongchaumoc.spr	341	1	1	Ngu Sac Long Chau (Moc)
Ngu Sac Long Chau (Thuy)	4	204	\spr\item\questkey\ngusaclongchau\ngusaclongchauthuy.spr	341	1	1	Ngu Sac Long Chau (Thuy)
Ngu Sac Long Chau (Hoa)	4	205	\spr\item\questkey\ngusaclongchau\ngusaclongchauhoa.spr	341	1	1	Ngu Sac Long Chau (Hoa)
Ngu Sac Long Chau (Tho)	4	206	\spr\item\questkey\ngusaclongchau\ngusaclongchautho.spr	341	1	1	Ngu Sac Long Chau (Tho)
Ngu Sac Phung Vu (Kim)	4	207	\spr\item\questkey\ngusacphungvu\ngusacphungvukim.spr	341	1	1	Ngu Sac Phung Vu (Kim)
Ngu Sac Phung Vu (Moc)	4	208	\spr\item\questkey\ngusacphungvu\ngusacphungvumoc.spr	341	1	1	Ngu Sac Phung Vu (Moc)
Ngu Sac Phung Vu (Thuy)	4	209	\spr\item\questkey\ngusacphungvu\ngusacphungvuthuy.spr	341	1	1	Ngu Sac Phung Vu (Thuy)
Ngu Sac Phung Vu (Hoa)	4	210	\spr\item\questkey\ngusacphungvu\ngusacphungvuhoa.spr	341	1	1	Ngu Sac Phung Vu (Hoa)
Ngu Sac Phung Vu (Tho)	4	211	\spr\item\questkey\ngusacphungvu\ngusacphungvutho.spr	341	1	1	Ngu Sac Phung Vu (Tho)
Banh Ky Nang	4	212	\spr\item\questkey\banh\banhkynang.spr	341	1	1	Khi su dung se tang 1 diem ky nang
Banh Tiem Nang	4	213	\spr\item\questkey\banh\banhtiemnang.spr	341	1	1	Khi su dung se tang 5 diem tiem nang
Bi Kip Mon Phai	4	214	\spr\item\questkey\obj_item_lection.spr	341	1	1	Bi kiep vo cong cac phai
Bi Kip Ky Nang 120	4	215	\spr\item\questkey\obj_item_lection.spr	341	1	1	Bi kiep vo cong 120 cac phai
Duong Mon Mat Tich	4	216	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Ky tai lieu duong mon vu cong dich bi tich, doi duong mon de tu huu ngan dai bang tro."
Bao Vu le Hoa	4	217	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Ky tai lieu duong mon bao vu le hoa dich bi mat, duong mon de tu nhan thu kha di ung huu bao vu le hoa gia hang nang luc."
Loan Hoan Kich	4	218	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Duong mon ham tinh thuat trung loan hoan kich thien, hoc tap kha di hoach dac loan hoan kich ham tinh ky xao."
Thai Cuc Quyen	4	219	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Vu duong thai cuc quyen phap dich bi luc, tu te toan nghien kha di tap dac < thien dia vo cuc >."
Thai Cuc Kiem	4	220	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Ky thuat vu duong tuyet ky thai cuc kiem phap dich cao tham chieu so, hoc tap kha di hoach dac < nhan kiem hop nhat > chieu thuc."
Van Long Kich	4	221	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Ky luc lieu thien nhan mau phap dich cao cap chieu thuc, hoc tap kha hoach dac < van long kich > chieu thuc."
Luu Tinh Dao Phap	4	222	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Thien nhan dao phap trung cao cap chieu thuc dich van tu ky luc, hoc tap kha hoach dac < thien ngoai luu tinh > chieu thuc."
Thien Vuong Chuy Phap	4	223	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Thu trung van hoi lieu thien vuong chuy phap dich cac chung tinh yeu dong tac, tu te nghien tap kha di hoc dich < truy phong quyet > chieu thuc."
Thien Vuong Thuong Phap	4	224	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Thien vuong thuong phap de tam quyen, ky luc lieu < truy tinh truc nguyet > chieu thuc."
Thien Vuong Dao Phap	4	225	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Tuong te mieu thuat lieu thien vuong dao phap dich cac ca tinh yeu chieu thuc, nghien tap kha di hoach dac < pha thien tram >."
Thuy Yen Dao Phap	4	226	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Giang thuat thuy yen dao phap dich vu cong bi tich, kha di tong trung hoc dac < bang tung vo anh > chieu thuc."
Thuy Yen Song Dao	4	227	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Giang thuat thuy yen song dao dich vu cong bi tich, kha di tong trung hoc dac < bang tam tien tu > chieu thuc."
Diet Kiem Mat Tich	4	228	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Nga mi diet kiem bi tich, ky trung ky tai lieu diet kiem trung dich tuyet dieu chieu thuc < tam nga te tuyet >."
Nga Mi Phat Quang Chuong Mat Tich	4	229	\spr\item\questkey\obj_item_lection.spr	341	1	1	Giang thuat nga mi chuong phap trung cao cap chieu thuc < phong suong toai anh > dich thu tich.
Nhiep Hon Nguyet Anh	4	230	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Duong mon phi dao thuat, hoc tap kha hoach dac < nhiep hon nguyet anh > ky nang."
Cuu Cung Phi Tinh	4	231	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Duong mon phi phieu thuat, hoc tap kha hoach dac < cuu cung phi tinh > ky nang."
Ngu Doc Chuong Phap	4	232	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Ngu doc chuong phap, hoc tap kha hoach dac < am phong thuc cot > ky nang."
Ngu Doc Dao Phap	4	233	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Ngu doc dao phap, hoc tap kha hoach dac < huyen am tram > ky nang."
Ngu Doc Nhiep Tam Thuat	4	234	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Ngu doc phu tro tam phap, hoc tap kha hoach dac < doan can hu cot > ky nang."
Ngu Phong Thuat	4	235	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Con lon dao phap, hoc tap hau kha hoach dac < ngao tuyet khieu phong > ky nang."
Ngu Loi Thuat	4	236	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Con lon kiem phap, hoc tap hau kha hoach dac < loi dong cuu thien > ky nang."
Ngu Tam Thuat	4	237	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Con lon tam phap, hoc tap hau kha hoach dac < tuy tien thac cot > ky nang."
Cai Bang Chuong Phap	4	238	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Cai bang chuong phap, hoc tap hau kha hoach dac < phi long tai thien > ky nang."
Cai Bang Con Phap	4	239	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Cai bang con phap, hoc tap hau kha hoach dac < thien ha vo cau > ky nang."
Thieu Lam Quyen Phap	4	240	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Thieu lam quyen phap, hoc tap hau kha hoach dac < dat ma do giang > ky nang."
Thieu Lam Con Phap	4	241	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Thieu lam con phap, hoc tap hau kha hoach dac < hoanh tao thien quan > ky nang."
Thieu Lam Dao Phap	4	242	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Thieu lam dao phap, hoc tap hau kha hoach dac < vo tuong tram > ky nang."
Pho Do Mat Tich	4	243	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Pho do bi tich, ky tai lieu < pho do chung sinh > dich chieu thuc."
Hoang Kim Vu Khi Hop Thanh Do Pho	4	244	\spr\item\script\item_huangjintupu.spr	508	1	1	"<color=yellow>8 cap hoac 8 cap di thuong huyen tinh <enter> tay tuy kinh <enter> vu lam bi tich <enter> hong dong quang <enter> tu thuy tinh, luc thuy tinh, lam thuy tinh <color>"
Hoang Kim Trang Bi Hop Thanh Do Pho	4	245	\spr\item\script\item_huangjintupu.spr	508	1	1	"<color=yellow>8 cap hoac 8 cap di thuong huyen tinh <enter> tay tuy kinh <enter> vu lam bi tich <enter> hong dong quang <enter> tu thuy tinh, luc thuy tinh, lam thuy tinh <color>"
Tien Dong	4	246	\spr\item\tongqian.spr	373	1	1	Loai tien rat gia tri voi cac thuong gia.
Cong Trang Lenh	4	247	\spr\item\questkey\006.spr	385	1	1	Cong Trang Lenh Bai
Thien Son Tuyet Lien	4	248	\spr\item\script\tianshanxuelian.spr	445	1	1	Hoa Son Tuyet Lien sau khi su dung tang duoc 300 trieu diem kinh nghiem.
Chuyen Sinh Kiep	4	249	\spr\item\script\tisheng.spr	413	1	1	Mang theo trong nguoi khi muon Chuyen Sinh nhan vat.
Yem Nhat Kiem	4	250	\spr\item\questkey\taskobj114.spr	9	1	2	"Mot trong <color=green>Luc Tieu Kiem Chi Bao<color>, khi thu thap du 6 thanh tat co su kien."
Doan Thuy Kiem	4	251	\spr\item\questkey\taskobj115.spr	9	1	2	"Mot trong <color=green>Luc Tieu Kiem Chi Bao<color>, khi thu thap du 6 thanh tat co su kien."
Chuyen Phach Kiem	4	252	\spr\item\questkey\taskobj116.spr	9	1	2	"Mot trong <color=green>Luc Tieu Kiem Chi Bao<color>, khi thu thap du 6 thanh tat co su kien."
Khu Ta Kiem	4	253	\spr\item\questkey\taskobj117.spr	9	1	2	"Mot trong <color=green>Luc Tieu Kiem Chi Bao<color>, khi thu thap du 6 thanh tat co su kien."
Diet Hon Kiem	4	254	\spr\item\questkey\taskobj118.spr	9	1	2	"Mot trong <color=green>Luc Tieu Kiem Chi Bao<color>, khi thu thap du 6 thanh tat co su kien."
Vu Vuong Kiem	4	255	\spr\item\questkey\taskobj050.spr	9	1	1	"Mot trong <color=green>Luc Tieu Kiem Chi Bao<color>, khi thu thap du 6 thanh tat co su kien."
Qua Phao Dai	4	256	\spr\item\questkey\phao\quaphaodai.spr	462	1	2	Huu kien diem kich kha tang gia chien dau kinh nghiem
Qua Phao Trung	4	257	\spr\item\questkey\phao\quaphaotrung.spr	462	1	2	Ban dien dong kinh
Qua Phao Tieu	4	258	\spr\item\questkey\phao\quaphaotieu.spr	462	1	1	Ban dien dong kinh
Phong Phao Dai	4	259	\spr\item\questkey\phao\phongphaodai.spr	463	1	2	Ban dien dong kinh
Phong Phao Trung	4	260	\spr\item\questkey\phao\phongphaotrung.spr	463	1	2	"Nhap bang than phan chung minh, kha huong bang hoi bang chu tac yeu"
Phong Phao Tieu	4	261	\spr\item\questkey\phao\phongphaotieu.spr	463	1	1	"Nhap bang than phan chung minh, kha huong bang hoi bang chu tac yeu"
